Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
6/10/2016 12:04 AM,5600 Hyde Park Blvd,African American,Male,Equipment,Driving without headlights with heavy pedestrian traffic,N/A,Verbal Warning,No
6/10/2016 11:47 AM,1465 E 51st,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and no insurance,Citation issued,No
6/10/2016 12:56 PM,5500 S Kimbark,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/12/2016 2:18 PM,1619 E 54th,African American,Male,Moving Violation - Other,Obstructing traffic,Two citations issued for obstructing traffic and suspended license,Citation issued; arrested on warrant,Yes
6/12/2016 3:05 PM,5500 S Greenwood,Caucasian,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/12/2016 10:31 PM,Midway and Kimbark,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/14/2016 10:57 PM,5900 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and expired driver's license,Citation issued,No
6/15/2016 11:09 AM,1520 S 57th,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/15/2016 4:33 PM,5700 S Kimbark,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation issued,No
6/15/2016 6:27 PM,1200 Midway Plaisance,African American,Male,Speed,Driving too fast for conditions,N/A,Verbal Warning,No
6/18/2016 10:14 AM,5200 S Dorchester,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/19/2016 12:15 PM,5300 S Berkeley,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/19/2016 12:39 PM,5300 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/20/2016 11:41 AM,5300 S Blackstone,African American,Male,Traffic Sign/Signal,Almost struck pedestrian in crosswalk,N/A,Verbal Warning,No
6/23/2016 6:42 PM,5700 Drexel,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/24/2016 9:29 AM,1322 E 57th Street,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
6/24/2016 10:35 AM,5500 S EVERETT,African American,Male,Moving Violation - Other,Subject  turned the corner driving erratically ,N/A,Verbal Warning,No
6/25/2016 12:37 PM,5726 S KENWOOD,African American,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
6/25/2016 2:29 PM,5300 S HARPER,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
6/25/2016 4:08 PM,6100 S KIMBARK,African American,Male,Lane Violation,Improper lane usage,Two citations issued,Citation issued,No
6/25/2016 6:04 PM,5500 S KIMBARK,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/26/2016 4:59 PM,6229 S KIMBARK,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/26/2016 5:41 PM,5500 S DORCHESTER,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/27/2016 8:09 PM,5300 Harper,African American,Male,Lane Violation,Illegal U-Turn with pedestrians in crosswalk,N/A,Verbal Warning,No
6/28/2016 10:02 PM,5000 S Blackstone,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/30/2016 12:45 AM,5900 S Woodlawn,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/30/2016 2:56 PM,5600 S Woodlawn,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
7/1/2016 12:05 AM,5400 S Hyde Park,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/1/2016 12:48 PM,1450 E 55th,African American,Male,Moving Violation - Other,Improper use of electronic communication device,N/A,Verbal Warning,No
7/3/2016 9:18 AM,6300 S Greenwood,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/4/2016 11:25 AM,6200 S Woodlawn,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
7/5/2016 6:57 AM,5730 S Cottage Grove,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/5/2016 3:04 PM,5600 S Ellis,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
7/5/2016 8:12 PM,1010 E 59th,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
7/8/2016 2:48 PM,6100 S Woodlawn,African American,Male,Lane Violation,Illegal passing,One citation issued for disobeying traffic control device,Citation Issued,No
7/8/2019 10:40 AM,55th and Ellis,African American,Female,Follow Too Close,Following too closely,N/A,Verbal Warning,No
7/9/2016 11:09 PM,5700 S Woodlawn,Caucasian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
7/10/2016 11:07 AM,1446 E 55th ,African American,Male,Lane Violation,Right turn in front of CTA bus,N/A,Verbal Warning,No
7/12/2016 6:05 PM,4900 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
7/14/2016 10:35 AM,5400 S Woodlawn,Caucasian,Female,Traffic Sign/Signal,Ran red light,One citation issued for expired registration,Citation Issued,No
7/14/2016 11:20 PM,5600 S Stony Island,African American,Male,Follow Too Close,Following too closely,N/A,Verbal Warning,No
